address,xASTRO,ASTRO
terra1rva5espyu5jdtp605vueea080rdlhyavvdnyyh,0,24847662
terra1g8zgqc07rfhj6nycez0hku9uscw30jf2pzhxlx,1309431020,3636197
terra1nwhm8fm29zy9yge92atvs9zua6yg5eaucgf6x3,98440900,0
terra130hnn9qh9naezd8q9p5cext6qse35ktxpqe07d,0,50231731
terra169hpn0fr2tf5un4rknndttncveshqkkq3yp6x8,13466328110,415
terra12plgtfg565hr3ztegpvq4m79wcr6d2du27vzj4,20354538,51707
terra1aqgp6v5zdsqjrxc0gg02qkyu3vx9325kea0279,0,0
terra1h6cp46lacamvx89pc8j4a0vhqnw2xxe4egd05t,0,0
terra1p3n8yqu0sm973d6tl0ml0vusl9ly5cd4kyxgaf,180108623,0
terra1xt37t0nyecksh6jv7g09tzyz37aztlnlt87jxf,84263339,0
terra1l3lxj26ajvywdfdxk2rl9tfvrsmep9cf4lk8f7,3713680813,0
terra1m9dr95t3trn8kg2ekhrs9das9ec9vxlj46udca,3257443875,0
terra1h7c6kxys36e3lwfsgqh2wlmlxym3ldzpq44d0s,32017639863,0
terra1kcnmyzyss02neja87d20qjayuaeufk77vsnz5a,4464853134,136298720
terra1lauwkvet3n9evjn9h6hgrzu2exezy5dyce5d20,0,24576703
terra1s2a0nw9hq33r5az4klwfyl0t9wm3dtq45ddl2l,14374614705,0
terra1ttyq9xa2zle0d2dgcy378zurpkxzs62fa43qg6,4989629304,857858673
terra1qtsexcxclz9zxxnef5qds7296dwgz4umlwydlw,77408958,0
terra1y06mv558ctmhzwcgdy5uhz5vfcwh4puf9z52ns,0,0
terra12yy33vnm7pc33a04c59j0mkm3jj9f8l00p89a7,257755863,0
terra1hnvjjeesyk8w6adt3378dxxww2f5xpgsj3kt0n,33524672,0
terra1ykpcjzhnxqzttkrrnfanmxz092quea4my2sqq7,1584383240,798891654
terra1adh0mzhe50ts4f6k2wsqpg9dsxkd4gx0a7at6m,4667794086,0
terra1hc3nt5ht7mgumn20kr5rpk75ke8tlssflgd7wk,288765357,185235
terra1jthwgtrrv4d6ex8706gsyrnsyluarnxulupjf5,4841393967,0
terra1wxc4ufxg48h56kqhaaegzljjmup53rjxj70y5t,10388271,0
terra1yl9rpx0v6lrwe6eqp4zakpdxwl2j7dwtf3qtn5,0,0
terra1gdksystqh3rhydx5pnhm3z6nhf506au5e5j9cn,573421,0
terra1akwqelvqhgaxq49jvnl9cnamzhlr2n3huc7t4w,567938348,0
terra1wze6q3szr35qhz6q8uynqc4r8pfgpezmrp5umu,2429576602,31721
terra1djxpgttjz52lzyaqegsjzcraxyxrflz698daeu,5742768,0
terra13puc687p0nhsm8h05j463ujf3gymm9kkutr4g6,13882065,0
terra17wvfc8m0l2fkuf3etcmd7v6t7glaufe7csrknc,792258866,0
terra1vmk950mvwakjef3qjjpcz9f28x3ah3q8hq5euj,0,2842332
terra1xffc4spltuawf5xwdr37p8rul6p4j9rcs04sc9,2116784953,0
terra1wzsf0szedktpgnupzdg236trz6yvhuaprxfh99,6545818307,0
terra1krpruxsuhqawjxa8wxrnyquynme308xtprj979,771319772,0
terra1ucrp4zkykdpt98h0s2c2uagywynmqxxmzzgm3h,0,0
terra1npkl36stde4lu65e39m0377ycvra3a7g709d05,0,16
terra1mduasz2dled4xlhwkftlyeaqclrlfu7xacjck4,3228595216,0
terra1ea29ltrylzdv359m33cqykh5hxxx02ysfr8y46,4632494461,0
terra1zdjkz5mef46rujj280s4qtzx0pnyxcnfgwm2cc,0,28311944
terra1qa43j3azg765qr66lnz4f6a9zh9c2paq6w28y8,1325094169,0
terra1v5kkan4ykltf3drdz5fzfah240jswnlfectqe2,1920056033,0
terra1y4e4leh8pckhl7em6g473e9fnleg24c7u0nnsu,1493970881,191378495
terra1jcd9egzlzks8mq49fd6rxed3kxlwjwqsmmut70,379951840,0
terra16xpan0ulyn6ezmlar6d0ptxxr3yrqvcp8klj0c,9236444439,0
terra15emz8ytnx5hwphztlyxl0p9ecezhj86xvgzmly,500000000,185042238
terra1ugy56z08ele2y5g65wyfqdhuclrnt6akc65582,187359639,0
terra1pryh9gdcret5w7mc2gsu6t9fetz47zjxznzxvr,1806245808,4854753
terra1xz2nuklk9dy3krheztf6hlcc6vea5us3m4n0me,44838178237,0
terra1lvtk7gme33a8qwc7xagnqemluwxjk948t60fg6,267111510,0
terra1u9lknlpau2x2cttuvdd7gej2kkyn3drr62y5rv,6907562373,24530515
terra1wvmgfpw2yf0ctdcch2ne4a9djalw5zet66ay5s,0,0
terra1thhk00fh9gg3k5rmj0uml5ptdvj25d8ky7ml79,635520873,0
terra1rgsae79jzgmfg37mq6xuum73nh7np3u5gmd882,4657330,0
terra1pqp0rwxx3lg7lnzrpdxv6ac7xwvhv82xlj2axq,0,0
terra1647k5dq7pv5gmw59t42um3y6jhp50rf98mjd6f,189092257,0
terra1z8mw2rnkrnetv8ys8c2r4cv23edjj9kyp984pa,0,0
terra144tnnr0dlymhlt0g65zy95eed4crtsqg07eahs,157836403,0
terra1xwkpnxwc29ctka0yttvtx5ful0gsze00mjk7j2,34604882,188101
terra1rphel867qll5s4ss44djkzpkpw80r5wpql9szp,31191720,0
terra1e502qvrm88e49wgvzjvn8jh999e24s7dq09g5a,0,0
terra1xvjfks69wa3wwztcfur7ad05gt3cm6epx64zg0,662513011,0
terra1zl5umz0wqpr4m670gyf9jm7nytk25sh74cdpnp,0,1619291
terra14ww79dld9gxuy6kxwd8gv9q4d7hm6u5zg09qrn,0,52151834
terra1ha49wqzs6ua0a2hpmzav2ayfc0e3sfnxlltynr,2000954977,0
terra1glyctstef76m7p5hhj9tc0yqeum2tmagmzvv8c,0,0
terra1skk3cy0eq6fgls7wu8n7yvsl4q23qazv3a48vq,3187998304,0
terra14a9mh9xh8w59ad47s7xayx5pfdp9c9r94yf3tv,0,0
terra1mcfskydrvpaccazqw9h2ves3enlmmgdk8tzv3l9sta4q73dh7dls36jlnu,16802,0
terra1awhw0mpsqjdkmaujg43t40q6d0p8nnq745g4nj,0,0
terra1jdk06sd6z0s233j2vs7r99p9h856asw98j53rq,1085171122,0
terra10zrnc9wfxju0gcrwxaw9zytjunrenexxrxh29w,0,15895451
terra1997dswkl2t3tpmqxhat52cyyz9ssw8pamgq4mr,0,0
terra1pjfl03a5dlj072nmzax6hd4r94e33tskldtkaj,29637456,32502511
terra1ymmwa5c7xzx5ak20ynwdahlzh29zqvw4k678c8,0,0
terra1rx5s7kd66t2ufa5svml8ed755hvne38xckr7zy,61768511,0
terra1a0u089chxd630ru82ctwg2nh0px2dlt6snapx8,19607385,74176632
terra1gthnsjl9jv3y0tpa0mvfmsdndq3pxmqpa7se3z,8398428,0
terra13snpp4gqsxue0rptsvhpw7r4stjjtg3w6rkt2p,0,94785942
terra1q6pppg7tn4lnfthmq2y4a5dkcyu3pwx0d8cusx,14491670,0
terra1a9lt8xny535e3zpyzt6etcedqzm5a32eyclszk,0,0
terra1tdet8jcdfzx4au237aqmpr9vmz7hd3yumvp8se,0,0
terra1x8wqyvftsfxj4vlnfahyvtxl0ktv4x4xl49ctf,0,0
terra146vcggu4zfu9nlmgc6057l8mykj3yk6pmryg4j,3447947,0
terra1athnapahumts4u9gq3x5hn7tjyp767m5fmsf35,83880472,0
terra1l4mpnxhvrca26ge5mt4le7uh8yvcknv4ar42lq,0,69365
terra1uley62sfg79vv0r3x0up525rydr93yv6u6z6et,130055692,0
terra1j9eg3utwfwfkdt8nfnk045pmaqd6pryk39p6g2,0,0
terra1kmuszzur7x8kykg496my7lc2ckkg8c6vfj7z9p,428112423,0
terra1c56cscuhclgkz5zjcn4jgexd88auh2m26nqhfu,0,123477
terra18m7qpxp5z8f6pg2zs86nyanxmtwdpp92l47gk8,199585172,136210064
terra10cj5gkzuka5zwhavecu7gn0vycvtv4x8naaae9,0,0
terra1wl6nx5w608yxy4vmts2xq2khunyvj4uwxvemr4,4655251791,0
terra1rmc622tcyfla28p0n3yjjwk7m09mkat9y2m0fu,0,0
terra1zccv5exj8sr86u3jhqvyhcchpyhckvk6h3plnw,29989676,35957709
terra1a8jxv0xmtawslykss6qjpjpu3zsrwdpa3jpns3,250279291,0
terra1zpsptgnd0rrnhwe8vrz25uptvd3338g6f86mn9,0,0
terra1mweqvg3n3nk043j3p2yk2hxl0zm8e9dhkcz337,117956947,0
terra15d4dun00sa7tv2q6sys6zyhw29hq796z86mlfu,1454743931,0
terra1rc6vh28rw8ptwykkugul5dsz9jjdfrz58agqlw,11198523317,5507400769
terra1nvqtv48m7na50uvnuute0mqyhzupj0jv870wju,5774730483,0
terra1juavpfk7j93zzey4skyqqpsnwpa5jhyg9rdytc,191454144701,0
terra12agmjfvadtyg0ak3ravwu24apyraglz36fqp2k,497216825,0
terra1az87wa6jr479vwxcm5xcn46e4lmazczeruueda,998207609,3244
terra19afgrt5c5xxphcx08p7qnvc4v764n07w46vwt7,10196289717,1602994007
terra1f7yy5cj8shxt534haxunwuhq245f3jalnmcd67,0,0
terra14jjcxq6sepak8a3nf3fsw6l6d6qzunmjw36qcn,100096403,0
terra1zhhcjl2528nfh776rmvugx434r3enf4trnzrm5,21356825184,0
terra1menzgmmv5yp5zxgxgleffx62606xhkh5v8ankc,99574261,84113301
terra1wm5hhlznqh2c060weusnj64vuly7nxt475w3p5,791156540,0
terra1e5p03lmzlmcfqyct6vyy3ekveec7wlwrg3tvmv,3816231946,0
terra1zmtxussh926stpdzsch837fpy2ca0yygzaftt5,79213367002,0
terra1zwh8qhru2yvqqtl6qg8wh5nr4nx3dkh4kj2dns,2271352410,0
terra1e3h0mdjvc9wsc72pnn3q73pjt70e39t5x5nuzu,359270440,0
terra1zrcmjmwfwdp4e8leasjavlhyaj5rrn86lcjqeg,0,17073843237
terra10p2n7hgt6gd7wg6974far3r5u5pfasp4rzfa3g,377646120,10
terra10xa09awnlkghvktjy4aumm5qf09lhrmgdczja9,0,0
terra1a2xr5yk0vsdqcmep55rp3w00hxm452zja84z02,1714131702,0
terra1xwfv6s7gdf7thwjs35tsts6kdpv6q25jy5fwt2,83691116,0
terra1yzx4u3d4qtl0v9fynxlut0k098etpude20dw8y,0,0
terra19w58j8cw3qyvvsj0k375v6awcf8sc4wucjmqk6,158439703,0
terra135ekxltawp69gtftjfngvvr6anru36l4yv38v0,0,0
terra1dagz2mwtj7x7m68mmc7mkx2ezkxmucalsvt8p9,247669906,0
terra16gkrfe3z74z72v3k29c5hwxz60cw8e00qj5dkh,971769703,0
terra10sxxa5vw34geymnqmyjmwugnsc6wput8c8p5zl,394043593738,0
terra199ychwnvdfklmyjqhyccvhl26ch93h4llvvmd8,12622839741,0
terra1dwv0c7ejtljjk09kda4azrypyaaudc5pkywca8,34493920131,0
terra19tu3e4s7dv3gx38grvcjh5lrykuwmskwk9e59m,0,623
terra1xctfng0j34uwhsgunfjatcuwwkny50rjfsqsxq,0,0
terra1uevlsxpxzy8dfegnaghgq4ltlqsyd2078nu5mx,524826755,0
terra1y9ma5e9td5pgkdhpq5t4m7ka9pxg9u0tvns9qd,0,112705864280
terra14v2geaamrq4m6r9jmqp4h056jdcl6wul2ggauv,0,0
terra1pqtg0edt6dcdl3j6aeu53vh04y6zp8cq6r8g0w,765919727,0
terra1y3qx2mut32h465n4j2a0ed5d5r3rl75l2y7kug,2078648597,1194258133
terra1gv3vq3xm8came977s8pccw56cx3jefzfp5v76p,473819293,12656195
terra1h2u6ah0e85xgpvzx0uyhms4jqs3e2t8ljq54d2,7417249170,119942746
terra1akrzcfkf9r4vljw3eex30eu67jujmxgy9hvawa,284540959,66203
