,from_address,to_address,tot_atom_amount,first_send_timestamp
0,cosmos18e6wd0sscqlqprpl02lejln435y8aky8fme2jz,cosmos1p5tus3kyl8euzu385pwzcj00wu7rjkpqhzthpd,1599190.800046,2023-05-29 15:17:41
1,cosmos1p5tus3kyl8euzu385pwzcj00wu7rjkpqhzthpd,cosmos1cms24y2e42d0q7wurxsk7ff8guu4lphd6jsza4,65005.0,2023-05-31 02:54:41
2,cosmos1p5tus3kyl8euzu385pwzcj00wu7rjkpqhzthpd,cosmos1kfr242rvysart9k2ycz7l63t5yz9pvl7qlpyqt,1275966.0,2023-05-31 02:59:37
3,cosmos1p5tus3kyl8euzu385pwzcj00wu7rjkpqhzthpd,cosmos1w5mtmtuey5a3f59d9m0xh2quh90ze2vjj06rn2,610000.0,2023-06-02 14:10:54
4,cosmos1kfr242rvysart9k2ycz7l63t5yz9pvl7qlpyqt,cosmos1p5tus3kyl8euzu385pwzcj00wu7rjkpqhzthpd,150000.0,2023-07-14 17:24:56
5,cosmos1kfr242rvysart9k2ycz7l63t5yz9pvl7qlpyqt,cosmos1scwcfre6h4c7epkyrdfegpeaz8umqldl50gn8w,27151.778528,2023-06-22 00:40:49
16,cosmos1w5mtmtuey5a3f59d9m0xh2quh90ze2vjj06rn2,cosmos1j8pp7zvcu9z8vd882m284j29fn2dszh05cqvf9,881.083942,2023-07-30 22:26:39
21,cosmos1scwcfre6h4c7epkyrdfegpeaz8umqldl50gn8w,cosmos1w5mtmtuey5a3f59d9m0xh2quh90ze2vjj06rn2,725.15919,2023-07-29 04:48:59
28,cosmos1j8pp7zvcu9z8vd882m284j29fn2dszh05cqvf9,cosmos1l0znsvddllw9knha3yx2svnlxny676d8ns7uys,21348.42897,2023-07-31 15:38:00
29,cosmos1vl8xm7x04cedgh639hc9ucvf6zc754fyfewhef,cosmos15camcflx20rsp2sx0spt73yvqfcvuhsjdafww5,960.954852,2023-07-31 13:31:03
44,cosmos1t5u0jfg3ljsjrh2m9e47d4ny2hea7eehxrzdgd,cosmos19c9g94rauk79udkctdluxe78l5lh7z9u6axvl9,2532.165504,2023-07-31 17:32:42
